cycle,predicted_label,confidence,target_policy,current_policy,applied,reason
150,resnet18,0.9333333333333333,XY,XY,False,already_active
300,resnet18,0.9333333333333333,XY,XY,False,already_active
450,resnet18,1.0,XY,XY,False,already_active
600,resnet18,0.9333333333333333,XY,XY,False,already_active
750,resnet18,0.9333333333333333,XY,XY,False,already_active
900,resnet18,0.9333333333333333,XY,XY,False,already_active
1050,resnet18,0.9333333333333333,XY,XY,False,already_active
1200,bert,0.6133333333333333,WEST_FIRST,XY,False,hysteresis_wait(1/2)
1350,bert,1.0,WEST_FIRST,XY,True,applied
1500,bert,0.9933333333333333,WEST_FIRST,WEST_FIRST,False,already_active
1650,bert,1.0,WEST_FIRST,WEST_FIRST,False,already_active
1800,bert,0.9933333333333333,WEST_FIRST,WEST_FIRST,False,already_active
1950,bert,0.9933333333333333,WEST_FIRST,WEST_FIRST,False,already_active
2100,bert,1.0,WEST_FIRST,WEST_FIRST,False,already_active
2250,bert,0.9933333333333333,WEST_FIRST,WEST_FIRST,False,already_active
2400,bert,1.0,WEST_FIRST,WEST_FIRST,False,already_active
2550,bert,0.9933333333333333,WEST_FIRST,WEST_FIRST,False,already_active
2700,bert,0.9933333333333333,WEST_FIRST,WEST_FIRST,False,already_active
2850,gemm,0.8,XY,WEST_FIRST,False,hysteresis_wait(1/2)
3000,gemm,0.9466666666666667,XY,WEST_FIRST,True,applied
3150,gemm,0.6333333333333333,XY,XY,False,already_active
3300,sparse_gemm,0.6866666666666666,DYAD,XY,False,hysteresis_wait(1/2)
