workload,policy,packets_delivered,packets_expected,delivery_ratio,avg_latency,max_latency,completed_cycle,throughput_pkts_per_cycle,energy_pj,timed_out,wall_seconds
resnet18,XY,831,831,1.0,895.6413959085439,2490,3561,0.2333614153327717,735292.8,False,0.193
resnet18,WEST_FIRST,831,831,1.0,895.6413959085439,2490,3561,0.2333614153327717,735292.8,False,0.181
resnet18,DYAD,831,831,1.0,895.6413959085439,2490,3561,0.2333614153327717,735292.8,False,0.178
bert,XY,1470,1470,1.0,9215.966666666667,18859,20394,0.07208002353633422,6449846.4,False,1.236
bert,WEST_FIRST,1470,1470,1.0,10277.708843537415,21693,23265,0.06318504190844616,6449846.4,False,1.375
bert,DYAD,133,1470,0.09047619047619047,1796.2105263157894,3407,3551,0.037454238242748523,594829.5,True,2.026
gemm,XY,1056,1056,1.0,475.1941287878788,1135,1407,0.7505330490405118,506880.0,False,0.103
gemm,WEST_FIRST,1056,1056,1.0,475.1941287878788,1135,1407,0.7505330490405118,506880.0,False,0.092
gemm,DYAD,1056,1056,1.0,475.1941287878788,1135,1407,0.7505330490405118,506880.0,False,0.102
sparse_gemm,XY,262,262,1.0,194.1908396946565,549,755,0.34701986754966885,126422.40000000001,False,0.032
sparse_gemm,WEST_FIRST,262,262,1.0,194.1908396946565,549,755,0.34701986754966885,126422.40000000001,False,0.032
sparse_gemm,DYAD,262,262,1.0,194.1908396946565,549,755,0.34701986754966885,126422.40000000001,False,0.031
