inject_cycle,packet_id,src,dst,size_bytes,op,layer
0,0,4,7,512,GEMM_SKEW_A,gemm_rep0
0,1,5,4,512,GEMM_SKEW_A,gemm_rep0
0,2,6,5,512,GEMM_SKEW_A,gemm_rep0
0,3,7,6,512,GEMM_SKEW_A,gemm_rep0
0,4,8,11,512,GEMM_SKEW_A,gemm_rep0
0,5,9,8,512,GEMM_SKEW_A,gemm_rep0
0,6,10,9,512,GEMM_SKEW_A,gemm_rep0
0,7,11,10,512,GEMM_SKEW_A,gemm_rep0
0,8,12,15,512,GEMM_SKEW_A,gemm_rep0
0,9,13,12,512,GEMM_SKEW_A,gemm_rep0
0,10,14,13,512,GEMM_SKEW_A,gemm_rep0
0,11,15,14,512,GEMM_SKEW_A,gemm_rep0
0,12,1,13,512,GEMM_SKEW_B,gemm_rep0
0,13,5,1,512,GEMM_SKEW_B,gemm_rep0
0,14,9,5,512,GEMM_SKEW_B,gemm_rep0
0,15,13,9,512,GEMM_SKEW_B,gemm_rep0
0,16,2,14,512,GEMM_SKEW_B,gemm_rep0
0,17,6,2,512,GEMM_SKEW_B,gemm_rep0
0,18,10,6,512,GEMM_SKEW_B,gemm_rep0
0,19,14,10,512,GEMM_SKEW_B,gemm_rep0
0,20,3,15,512,GEMM_SKEW_B,gemm_rep0
0,21,7,3,512,GEMM_SKEW_B,gemm_rep0
0,22,11,7,512,GEMM_SKEW_B,gemm_rep0
0,23,15,11,512,GEMM_SKEW_B,gemm_rep0
1,24,8,11,512,GEMM_SKEW_A,gemm_rep0
1,25,9,8,512,GEMM_SKEW_A,gemm_rep0
1,26,10,9,512,GEMM_SKEW_A,gemm_rep0
1,27,11,10,512,GEMM_SKEW_A,gemm_rep0
1,28,12,15,512,GEMM_SKEW_A,gemm_rep0
1,29,13,12,512,GEMM_SKEW_A,gemm_rep0
1,30,14,13,512,GEMM_SKEW_A,gemm_rep0
1,31,15,14,512,GEMM_SKEW_A,gemm_rep0
1,32,2,14,512,GEMM_SKEW_B,gemm_rep0
1,33,6,2,512,GEMM_SKEW_B,gemm_rep0
1,34,10,6,512,GEMM_SKEW_B,gemm_rep0
1,35,14,10,512,GEMM_SKEW_B,gemm_rep0
1,36,3,15,512,GEMM_SKEW_B,gemm_rep0
1,37,7,3,512,GEMM_SKEW_B,gemm_rep0
1,38,11,7,512,GEMM_SKEW_B,gemm_rep0
1,39,15,11,512,GEMM_SKEW_B,gemm_rep0
2,40,12,15,512,GEMM_SKEW_A,gemm_rep0
2,41,13,12,512,GEMM_SKEW_A,gemm_rep0
2,42,14,13,512,GEMM_SKEW_A,gemm_rep0
2,43,15,14,512,GEMM_SKEW_A,gemm_rep0
2,44,3,15,512,GEMM_SKEW_B,gemm_rep0
2,45,7,3,512,GEMM_SKEW_B,gemm_rep0
2,46,11,7,512,GEMM_SKEW_B,gemm_rep0
2,47,15,11,512,GEMM_SKEW_B,gemm_rep0
11,48,0,3,512,GEMM_SHIFT_A,gemm_rep0
11,49,1,0,512,GEMM_SHIFT_A,gemm_rep0
11,50,2,1,512,GEMM_SHIFT_A,gemm_rep0
11,51,3,2,512,GEMM_SHIFT_A,gemm_rep0
11,52,4,7,512,GEMM_SHIFT_A,gemm_rep0
11,53,5,4,512,GEMM_SHIFT_A,gemm_rep0
11,54,6,5,512,GEMM_SHIFT_A,gemm_rep0
11,55,7,6,512,GEMM_SHIFT_A,gemm_rep0
11,56,8,11,512,GEMM_SHIFT_A,gemm_rep0
11,57,9,8,512,GEMM_SHIFT_A,gemm_rep0
11,58,10,9,512,GEMM_SHIFT_A,gemm_rep0
11,59,11,10,512,GEMM_SHIFT_A,gemm_rep0
11,60,12,15,512,GEMM_SHIFT_A,gemm_rep0
11,61,13,12,512,GEMM_SHIFT_A,gemm_rep0
11,62,14,13,512,GEMM_SHIFT_A,gemm_rep0
11,63,15,14,512,GEMM_SHIFT_A,gemm_rep0
11,64,0,12,512,GEMM_SHIFT_B,gemm_rep0
11,65,4,0,512,GEMM_SHIFT_B,gemm_rep0
11,66,8,4,512,GEMM_SHIFT_B,gemm_rep0
11,67,12,8,512,GEMM_SHIFT_B,gemm_rep0
11,68,1,13,512,GEMM_SHIFT_B,gemm_rep0
11,69,5,1,512,GEMM_SHIFT_B,gemm_rep0
11,70,9,5,512,GEMM_SHIFT_B,gemm_rep0
11,71,13,9,512,GEMM_SHIFT_B,gemm_rep0
11,72,2,14,512,GEMM_SHIFT_B,gemm_rep0
11,73,6,2,512,GEMM_SHIFT_B,gemm_rep0
11,74,10,6,512,GEMM_SHIFT_B,gemm_rep0
