inject_cycle,packet_id,src,dst,size_bytes,op,layer
0,0,0,3,512,SPARSE_SHIFT_A,sparse_gemm_rep0
0,1,5,4,512,SPARSE_SHIFT_A,sparse_gemm_rep0
0,2,10,9,512,SPARSE_SHIFT_A,sparse_gemm_rep0
0,3,15,14,512,SPARSE_SHIFT_A,sparse_gemm_rep0
0,4,0,12,512,SPARSE_SHIFT_B,sparse_gemm_rep0
0,5,5,1,512,SPARSE_SHIFT_B,sparse_gemm_rep0
0,6,13,9,512,SPARSE_SHIFT_B,sparse_gemm_rep0
0,7,10,6,512,SPARSE_SHIFT_B,sparse_gemm_rep0
0,8,7,3,512,SPARSE_SHIFT_B,sparse_gemm_rep0
0,9,15,11,512,SPARSE_SHIFT_B,sparse_gemm_rep0
9,10,0,3,512,SPARSE_SHIFT_A,sparse_gemm_rep0
9,11,5,4,512,SPARSE_SHIFT_A,sparse_gemm_rep0
9,12,8,11,512,SPARSE_SHIFT_A,sparse_gemm_rep0
9,13,10,9,512,SPARSE_SHIFT_A,sparse_gemm_rep0
9,14,15,14,512,SPARSE_SHIFT_A,sparse_gemm_rep0
9,15,0,12,512,SPARSE_SHIFT_B,sparse_gemm_rep0
9,16,4,0,512,SPARSE_SHIFT_B,sparse_gemm_rep0
9,17,10,6,512,SPARSE_SHIFT_B,sparse_gemm_rep0
9,18,15,11,512,SPARSE_SHIFT_B,sparse_gemm_rep0
18,19,0,3,512,SPARSE_SHIFT_A,sparse_gemm_rep0
18,20,5,4,512,SPARSE_SHIFT_A,sparse_gemm_rep0
18,21,6,5,512,SPARSE_SHIFT_A,sparse_gemm_rep0
18,22,8,11,512,SPARSE_SHIFT_A,sparse_gemm_rep0
18,23,10,9,512,SPARSE_SHIFT_A,sparse_gemm_rep0
18,24,12,15,512,SPARSE_SHIFT_A,sparse_gemm_rep0
18,25,15,14,512,SPARSE_SHIFT_A,sparse_gemm_rep0
18,26,0,12,512,SPARSE_SHIFT_B,sparse_gemm_rep0
18,27,5,1,512,SPARSE_SHIFT_B,sparse_gemm_rep0
18,28,13,9,512,SPARSE_SHIFT_B,sparse_gemm_rep0
18,29,10,6,512,SPARSE_SHIFT_B,sparse_gemm_rep0
18,30,15,11,512,SPARSE_SHIFT_B,sparse_gemm_rep0
27,31,0,3,512,SPARSE_SHIFT_A,sparse_gemm_rep0
27,32,5,4,512,SPARSE_SHIFT_A,sparse_gemm_rep0
27,33,9,8,512,SPARSE_SHIFT_A,sparse_gemm_rep0
27,34,10,9,512,SPARSE_SHIFT_A,sparse_gemm_rep0
27,35,11,10,512,SPARSE_SHIFT_A,sparse_gemm_rep0
27,36,15,14,512,SPARSE_SHIFT_A,sparse_gemm_rep0
27,37,0,12,512,SPARSE_SHIFT_B,sparse_gemm_rep0
27,38,5,1,512,SPARSE_SHIFT_B,sparse_gemm_rep0
27,39,9,5,512,SPARSE_SHIFT_B,sparse_gemm_rep0
27,40,10,6,512,SPARSE_SHIFT_B,sparse_gemm_rep0
27,41,15,11,512,SPARSE_SHIFT_B,sparse_gemm_rep0
36,42,0,3,512,SPARSE_SHIFT_A,sparse_gemm_rep1
36,43,1,0,512,SPARSE_SHIFT_A,sparse_gemm_rep1
36,44,5,4,512,SPARSE_SHIFT_A,sparse_gemm_rep1
36,45,10,9,512,SPARSE_SHIFT_A,sparse_gemm_rep1
36,46,15,14,512,SPARSE_SHIFT_A,sparse_gemm_rep1
36,47,0,12,512,SPARSE_SHIFT_B,sparse_gemm_rep1
36,48,5,1,512,SPARSE_SHIFT_B,sparse_gemm_rep1
36,49,6,2,512,SPARSE_SHIFT_B,sparse_gemm_rep1
36,50,10,6,512,SPARSE_SHIFT_B,sparse_gemm_rep1
36,51,15,11,512,SPARSE_SHIFT_B,sparse_gemm_rep1
45,52,0,3,512,SPARSE_SHIFT_A,sparse_gemm_rep1
45,53,4,7,512,SPARSE_SHIFT_A,sparse_gemm_rep1
45,54,5,4,512,SPARSE_SHIFT_A,sparse_gemm_rep1
45,55,10,9,512,SPARSE_SHIFT_A,sparse_gemm_rep1
45,56,14,13,512,SPARSE_SHIFT_A,sparse_gemm_rep1
45,57,15,14,512,SPARSE_SHIFT_A,sparse_gemm_rep1
45,58,0,12,512,SPARSE_SHIFT_B,sparse_gemm_rep1
45,59,5,1,512,SPARSE_SHIFT_B,sparse_gemm_rep1
45,60,10,6,512,SPARSE_SHIFT_B,sparse_gemm_rep1
45,61,14,10,512,SPARSE_SHIFT_B,sparse_gemm_rep1
45,62,15,11,512,SPARSE_SHIFT_B,sparse_gemm_rep1
54,63,0,3,512,SPARSE_SHIFT_A,sparse_gemm_rep1
54,64,2,1,512,SPARSE_SHIFT_A,sparse_gemm_rep1
